order_item_id,order_id,product_id,quantity,unit_price
1,100,1,1,129.00
2,101,2,1,49.00
3,102,4,1,299.00
4,103,3,1,35.00
5,104,5,1,42.00
6,105,6,1,69.00
7,106,7,1,199.00
8,107,8,1,19.00
9,108,1,1,129.00
10,109,2,1,49.00
11,110,4,1,299.00
12,111,3,1,35.00
13,112,5,1,42.00
14,113,6,1,69.00
15,114,7,1,199.00
16,115,8,1,19.00
17,116,1,1,129.00
18,117,2,1,49.00
19,118,4,1,299.00
20,119,3,1,35.00
21,120,5,1,42.00
22,121,6,1,69.00
23,122,7,1,199.00
24,123,8,1,19.00
25,124,1,1,129.00
26,125,2,1,49.00
27,126,4,1,299.00
28,127,3,1,35.00
29,128,5,1,42.00
30,129,6,1,69.00
31,100,8,2,19.00
32,102,2,1,49.00
33,106,3,1,35.00
34,110,5,2,42.00
35,114,8,1,19.00
36,122,2,1,49.00
37,126,1,1,129.00
