order_id,customer_id,order_date,status,amount
100,1,2025-01-03,completed,129.00
101,1,2025-01-15,shipped,49.00
102,2,2025-01-04,completed,299.00
103,3,2025-01-05,pending,35.00
104,4,2025-01-06,returned,42.00
105,5,2025-01-07,completed,69.00
106,6,2025-01-08,completed,199.00
107,7,2025-01-09,shipped,19.00
108,2,2025-01-12,completed,129.00
109,8,2025-01-14,cancelled,49.00
110,9,2025-01-16,completed,299.00
111,10,2025-01-18,shipped,35.00
112,11,2025-01-20,completed,42.00
113,12,2025-01-22,pending,69.00
114,1,2025-01-25,completed,199.00
115,3,2025-01-27,completed,19.00
116,5,2025-02-01,shipped,129.00
117,6,2025-02-03,completed,49.00
118,7,2025-02-05,returned,299.00
119,9,2025-02-07,completed,35.00
120,2,2025-02-09,completed,42.00
121,4,2025-02-11,shipped,69.00
122,8,2025-02-13,completed,199.00
123,10,2025-02-15,pending,19.00
124,11,2025-02-17,completed,129.00
125,12,2025-02-19,shipped,49.00
126,1,2025-02-21,completed,299.00
127,5,2025-02-23,cancelled,35.00
128,6,2025-02-25,completed,42.00
129,3,2025-02-27,completed,69.00
